TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
adaptive,-0.01587005613900276,-0.04206652600464986,-0.02120539253025632,-0.0137091606451687,-6.446353202337633e-4
addicted,0.18473220510771393,8.635697331188473,0.5152159288123821,0.009790583344693857,0.004027047102598228
addisonian,-0.018979138054840135,-0.04945541499031633,-0.026393622568023082,-0.025868638642900024,-0.014012331148999772
addle-brained,-0.018922243290203405,-0.049387990473614626,-0.026407609956843832,-0.02584718829518835,-0.014001262855259523
adept,-0.014507956900877595,-0.045113961787777754,-0.02414175216922183,-0.024407009217297992,-0.013374610562264569
adherent,-0.01882086935575533,-0.049170860674066764,-0.026306325389567353,-0.025707009589760448,-0.013982216765381824
adhesive,-0.012024837935799861,0.021358231231699422,3.609786018754987e-4,-0.012137956831893006,-0.005675677929437446
adipose,-0.018901992611264906,-0.04891182863250089,-0.025825198894669287,-0.025654408418620347,-0.013992638210786603
adjustable,-0.007179139761230692,-0.03121003602725674,-0.02150299654771904,-0.01987784344250762,0.011573611016403753
adjuvant,-0.018819663958199465,-0.04949198421971386,-0.02582222285449466,-0.02586829707685366,-0.014012546765111595
admirable,0.01730248459834638,0.23010758237596013,0.026946937495211872,-0.025868911895737118,-0.005603805892163108
admonitory,-0.01897516024290579,-0.049492746078659645,-0.026416637278706866,-0.025868843582527844,-0.01401261863714887
adorable,-0.0017427967842886646,0.25715357495122015,0.06523865440874858,-0.025868911895737118,0.07582721233966222
adread,-0.018979981833129243,-0.04949350793760543,-0.026422390956377814,-0.025868843582527844,-0.014012762381223419
adream,-0.018933332947717343,-0.04898420523235018,-0.026189267809365348,-0.02551095067914735,-0.013900713875112724
adrift,-0.018455633896328847,-0.043285500317901016,-0.0234275025273113,-0.022712841627331157,-0.012683201563685433
adroit,-0.018297726816510797,-0.048797549790633596,-0.02517344609642593,-0.025773273402755117,-0.01387627738243945
adroop,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
adrowse,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
