TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
abstracted,-0.01811483477720287,-0.04659370018085135,-0.04647805379449913,-0.05690342780982351,-0.06020884421484766,-0.05254600650000541
abstractive,-0.01854460899567177,-0.04858658887660577,-0.0537934932210812,-0.05766722182888299,-0.06206411653394766,-0.05552785511512941
abstruse,-0.01850004965692071,-0.04645870675265046,-0.05341831443469998,-0.05706411671547264,-0.06170833841858395,-0.054662369080351755
absurd,-0.01035498895567669,0.02820037295262959,-0.02621511788280163,-0.00862997631014097,0.02972730724517128,-0.0042499275489974245
abundant,0.01548701237962677,-0.02120722176889944,-0.02484784825313243,-0.0407468887509206,-0.03727422107191055,-0.031019044961215755
abusive,0.05304244422672669,0.633742322310948,0.5149502015402665,-0.04809266729488059,0.02704724611248801,0.13673680614615014
abysmal,-0.01792524626273359,-0.0437318395029923,-0.04732576096489403,-0.05468717303320831,-0.06206478654923083,-0.05195239001258137
academic,-0.01237163111595505,-0.03678932033837463,-0.03805567287573688,-0.0021606827060853,-0.01724076410510308,-0.02611434710879241
acanaceous,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
acaroid,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
acceding,-0.01855402804288744,-0.04893718609441896,-0.05378638341900692,-0.05766951738467797,-0.06206478654923083,-0.05561446836183367
accelerative,-0.01856634525847717,-0.04893872887645555,-0.05382876877752667,-0.05767139556669205,-0.06206478654923083,-0.055625919942476273
accendible,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
acceptable,0.02720044289142321,0.1138247759829141,0.09738605663929376,0.0452112414268385,0.1262095080217691,0.0709056292351174
acceptant,-0.01848737017028423,-0.04893718609441896,-0.05383232367856381,-0.05767056081913024,-0.06206478654923083,-0.055626214285335956
accepting,-0.00371335309847253,-0.03948918890239262,-0.04275908040179892,-0.04229117174027582,-0.04866448088581446,-0.04330098048257046
accessible,-8.151847244198082e-4,0.05481336308366397,0.02355349663715713,-9.08561363364852e-4,-0.05965273152981588,-0.009455745245110853
accident-prone,-0.01184030024737872,0.06252727326657248,-0.05239012767318874,-0.05449935483180024,-0.05281857564147353,-0.042887089598460305
accidental,-0.01446072748558472,0.06676992386717216,0.02738185160023087,0.04792417100273281,0.4357565688466872,0.03190380474613778
accidential,-0.01856562071638366,-0.04874626681739198,-0.05349488153396145,-0.0576711868798016,-0.06206277650338131,-0.05549377793363408
accipitral,-0.01856646601549275,-0.04893872887645555,-0.05383369094819348,-0.05767139556669205,-0.06206478654923083,-0.055627150485142975
acclaimed,-0.0179518128061624,-0.04407896546122318,-0.0433059882536666,-0.04894828354573957,-0.05559913906663243,-0.04798309408181545
accommodating,1.5087140026443e-4,-0.04893872887645555,-0.04450918552777549,0.01015184383066581,0.01699701686492574,-0.0207862997933252
accomplished,0.0459177803071804,0.02588619989775704,0.01124806997013435,0.00764760114522491,0.06456810197005385,0.022674912830074175
accordiable,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
accostable,-0.01856562071638366,-0.04893872887645555,-0.05381618989693371,-0.05767139556669205,-0.06206478654923083,-0.05562277522232803
accountable,0.00775856338215284,-0.00805500490704042,-0.0037918959562268,-0.03555058517863072,-0.0193848130112497,-0.01669557476328691
accountless,-0.01856284330502519,-0.04893872887645555,-0.05383259713248974,-0.05767139556669205,-0.06206478654923083,-0.05562687703121704
accrescent,-0.01856622450146158,-0.04893795748543726,-0.05383341749426754,-0.05767056081913024,-0.06206344651866449,-0.05562634557937488
accretive,-0.0185360352475652,-0.04893564331238238,-0.05351128876951748,-0.05751008060037157,-0.06163463673743516,-0.05539791235492665
accroaching,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
accumbrous,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
accurate,0.01150203086530427,0.05982740470255451,0.03230402226703999,0.0028478026647965,0.12687952330493993,0.026620315124923816
accursed,-0.01757022063691213,-0.0242542162911483,-0.03395386398672929,-0.0549375973017524,-0.05829930065781083,-0.042861244559360204
accusing,-0.01801098374379931,-0.04326900489201778,-0.04798205038713524,-0.05393590022757603,-0.05803799469737421,-0.05080623755102581
accusive,-0.01856598298743041,-0.04893872887645555,-0.05383287058641568,-0.05767139556669205,-0.06206411653394766,-0.055626777890877735
acentric,-0.0185652584453369,-0.04893602900789153,-0.05383122986286007,-0.05767056081913024,-0.06206344651866449,-0.05562531655213658
acerb,-0.01856586223041483,-0.04893641470340067,-0.05383177677071194,-0.05767097819291115,-0.06206277650338131,-0.055625486542601264
acerbate,-0.01856646601549275,-0.04893872887645555,-0.05383232367856381,-0.05767139556669205,-0.06206478654923083,-0.05562680866773556
acerbic,-0.0184617696829801,-0.04893872887645555,-0.05252685463615566,-0.04492062655998877,-0.06174920935085737,-0.052033854855864335
acescent,-0.01856634525847717,-0.04893872887645555,-0.05383369094819348,-0.05767139556669205,-0.06206478654923083,-0.055627150485142975
acetose,-0.01856634525847717,-0.04893872887645555,-0.05383369094819348,-0.05767139556669205,-0.06206478654923083,-0.055627150485142975
acharné,-0.018566103744446,-0.04893641470340067,-0.05375849111856167,-0.05767056081913024,-0.06206344651866449,-0.05560722828993927
achatean,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
acherontic,-0.01856634525847717,-0.0489383431809464,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562712242474717
achillean,-0.01853615600458079,-0.04891134449530622,-0.05374454496833904,-0.05765991778771712,-0.06195423402750764,-0.0555675103197175
achromic,-0.01856622450146158,-0.04893564331238238,-0.05381536953515591,-0.0576617959697312,-0.06199175488336521,-0.05560114092515867
aciculate,-0.01856646601549275,-0.0489383431809464,-0.05383314404034161,-0.05767139556669205,-0.06206478654923083,-0.05562691733430272
acid,-0.00105669875559086,0.3136150497202446,0.04898471174900419,0.10197407563016572,0.0303973225283421,0.04507485278798029
acidiferous,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
acidulous,-0.01855825453843294,-0.04874703820841027,-0.05371255085900479,-0.05765991778771712,-0.06201319537242667,-0.05553317555688971
acknowledged,-0.01499205835416106,-0.01989585703780499,-0.02074603936412485,-0.04260420207595594,-0.03278511867466607,-0.029007804288137963
acquainted,-0.01712945753002494,-0.03871779788410176,-0.03619618617938677,-0.03751224194889276,-0.03144508810832443,-0.03596782853017643
acquiescent,-0.01835151852775051,-0.04775850061847054,-0.05353316508359219,-0.05732914906634846,-0.06073815628855261,-0.054839742764240945
acquired,-0.0159581144788453,-0.0177359621865906,-0.01801150010478645,-0.03763745408316481,-0.02708998876771411,-0.025118726285563994
acquisitive,-0.01791800084179845,-0.04805548616051252,-0.05176665272205959,-0.05695142579462779,-0.06185976187258055,-0.054658331637445115
acranial,-0.01856646601549275,-0.04893872887645555,-0.05383396440211941,-0.05767139556669205,-0.06206478654923083,-0.05562721884862446
acrid,-0.01853048042484826,-0.03528510785270748,-0.05308470064506069,-0.05740427634691169,-0.06066445460740382,-0.05160963486302092
acrimonious,-0.01836238665915321,-0.0483524717025545,-0.05362149070166882,-0.05744601372500237,-0.0616131962483737,-0.05525829309439985
