TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
acquisitive,-0.12558749135881989,-0.05641263685694176,-0.04819580963822854,-0.04999131848155213,NA,-0.07733048223243792
acranial,NA,NA,NA,NA,NA,NA
acrid,NA,-0.05787012811637022,-0.05086850420431397,NA,NA,-0.05787012811637022
acrimonious,NA,NA,-0.0509908489141296,NA,NA,NA
acrobatical,NA,NA,NA,NA,NA,NA
acronarcotic,NA,NA,NA,NA,NA,NA
active,0.5229809340679005,0.09979408954797891,0.06118205579985601,-0.02168502697503898,0.03032057057368862,0.04240292223662114
acute,-0.1211200764697506,-0.05710756855305003,-0.04720234179579613,-0.04958731888777979,-0.05943024540133165,-0.07181130232797801
adagio,NA,NA,NA,NA,NA,NA
adamantean,NA,NA,NA,NA,NA,NA
adaptable,-0.10166378508103972,-0.05671621713770398,-0.04729111737282655,-0.0498903596805785,-0.05961051896089189,-0.06697022021505353
adaptive,-0.11473456824149844,NA,-0.04919985238450462,NA,NA,-0.11473456824149844
addicted,0.34718139212379256,-0.04312470311686114,-0.04472989964766519,-0.0481211683376586,-0.0581259956525973,-0.04852544168869556
addisonian,NA,NA,NA,NA,NA,NA
addle-brained,NA,NA,NA,NA,NA,NA
adept,-0.1142469497221277,-0.05533777535644017,-0.0500971990776063,-0.05012985201787003,NA,-0.0732381923654793
adherent,NA,NA,NA,NA,NA,NA
adhesive,NA,NA,-0.05099607750214371,NA,NA,NA
adipose,-0.13039782889204243,-0.05771071666702883,-0.05098500052810881,NA,NA,-0.09405427277953562
adjustable,-0.12999335649603083,NA,-0.05090259797649148,NA,-0.06075924206325552,-0.09537629927964317
adjuvant,NA,NA,NA,NA,NA,NA
admirable,0.00889197738585208,-8.041019955847635e-4,-0.01031662569222247,-0.04471010465642534,-0.05891904557329665,-0.028687469479382305
admonitory,NA,NA,NA,NA,NA,NA
adorable,-0.10189389567883857,-0.03677853162532417,-0.04181676831120495,-0.01173593891463901,-0.0183950704577378,-0.049721066518276374
adread,NA,NA,NA,NA,NA,NA
adream,NA,NA,NA,NA,NA,NA
adrift,NA,NA,NA,NA,NA,NA
adroit,-0.12733683310757515,-0.05709516791678442,-0.04864594188412219,-0.0502769396818339,NA,-0.07823631356873116
adroop,NA,NA,NA,NA,NA,NA
adrowse,NA,NA,NA,NA,NA,NA
adsorptive,NA,NA,NA,NA,NA,NA
adulating,NA,NA,NA,NA,NA,NA
adulatory,NA,NA,NA,NA,NA,NA
adulterated,NA,NA,NA,NA,NA,NA
adulterous,-0.12344249943298297,0.18011827809372122,-0.04352335602889624,NA,NA,-0.0834829277309396
adumbral,NA,NA,NA,NA,NA,NA
aduncal,NA,NA,NA,NA,NA,NA
adust,NA,NA,NA,NA,NA,NA
advanced,-0.09197061422136808,-0.04843587682586394,-0.04223313874801332,-0.04965271672941231,-0.05733342870020708,-0.061848159119212855
advancive,NA,NA,NA,NA,NA,NA
advantageous,-0.12934461745452927,NA,-0.05105113413407534,NA,NA,-0.12934461745452927
adventive,NA,NA,NA,NA,NA,NA
adventurous,-0.05583210928504634,-0.02748897733910352,-0.03783959141983088,-0.03221426435675106,-0.02247763136143206,-0.03834373560018295
adversarial,-0.13010876220916437,NA,NA,NA,NA,NA
adversary,NA,NA,-0.05104425883529742,NA,NA,NA
advertent,NA,NA,NA,NA,NA,NA
advertising,-0.11214681282308056,-0.04797424831274434,0.03307013776908185,-0.04931979682189357,-0.05978446393351154,-0.0673063304728075
advised,-0.12658392795752033,-0.05728411248902669,-0.04998435532983184,-0.05004566259726946,-0.0605090219268506,-0.07360568124266677
adynamic,NA,NA,NA,NA,NA,NA
aeolistic,NA,NA,NA,NA,NA,NA
aerial,NA,NA,-0.05050470324413402,NA,NA,NA
aeriferous,NA,NA,NA,NA,NA,NA
aeriform,NA,NA,NA,NA,NA,NA
aerose,NA,NA,NA,NA,NA,NA
aery,NA,NA,-0.05108356131833822,NA,NA,NA
aeschylean,NA,NA,-0.05094332023102541,NA,NA,NA
aeschynomenous,NA,NA,NA,NA,NA,NA
aesopian,NA,NA,NA,NA,NA,NA
aesthete,NA,NA,NA,NA,NA,NA
aesthetic,-0.11168807376369996,-0.05622160809695321,-0.04523537299675304,-0.05027270801637833,-0.06036137479142463,-0.06963594116711404
aestival,NA,NA,NA,NA,NA,NA
aestuous,NA,NA,NA,NA,NA,NA
afald,NA,NA,NA,NA,NA,NA
afeard,NA,NA,NA,NA,NA,NA
affable,-0.08741650367170176,-0.05026811854506403,-0.00263877989555368,-0.04826366903420716,-0.05513021982513746,-0.0602696277690276
affected,1.4219148795245529,-0.03311071456302483,-0.03936654263217636,-0.04284376044882344,-0.04238515954116115,-0.03942654429629644
affectionate,-0.01503701875780816,-0.03329405802696186,-0.02755750306573807,-0.0328417593965043,-0.03609711427954872,-0.03244760869218823
affective,-0.12439931359014691,NA,-0.05088535308079559,NA,NA,-0.12439931359014691
affirmative,-0.1281911407191443,-0.05684101922901315,-0.05087244258351276,NA,NA,-0.09251607997407874
afflicted,0.3981143230161384,-0.03262669554091189,-0.02335688318275564,-0.03935460918624402,-0.05005326334237088,-0.036347862813070606
afflicting,NA,NA,-0.05007258318469119,NA,NA,NA
affluent,-0.07476076447652548,-0.04033596115563155,-0.03898622140059887,-0.0487921249071122,-0.05934691932575578,-0.055808942466256256
