TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
acquired,[acquired person],0.07071743522085205,-0.057592369789124555,-0.05043673179748048,-0.04976015961194706,-0.06044827664095973
acquisitive,[acquisitive person],-0.12558749135881989,-0.05641263685694176,-0.048195809638228546,-0.04999131848155213,NA
acranial,[acranial person],NA,NA,NA,NA,NA
acrid,[acrid person],NA,-0.05787012811637022,-0.05086850420431397,NA,NA
acrimonious,[acrimonious person],NA,NA,-0.0509908489141296,NA,NA
acrobatical,[acrobatical person],NA,NA,NA,NA,NA
acronarcotic,[acronarcotic person],NA,NA,NA,NA,NA
active,[active person],0.5229809340679005,0.09979408954797891,0.06118205579985601,-0.021685026975038983,0.030320570573688626
acute,[acute person],-0.12112007646975059,-0.05710756855305003,-0.04720234179579613,-0.04958731888777979,-0.05943024540133165
adagio,[adagio person],NA,NA,NA,NA,NA
adamantean,[adamantean person],NA,NA,NA,NA,NA
adaptable,[adaptable person],-0.10166378508103971,-0.056716217137703986,-0.04729111737282655,-0.049890359680578505,-0.059610518960891895
adaptive,[adaptive person],-0.11473456824149844,NA,-0.04919985238450462,NA,NA
addicted,[addicted person],0.34718139212379256,-0.043124703116861146,-0.04472989964766519,-0.0481211683376586,-0.0581259956525973
addisonian,[addisonian person],NA,NA,NA,NA,NA
addle-brained,[addle - brained person],NA,NA,NA,NA,NA
adept,[adept person],-0.1142469497221277,-0.055337775356440175,-0.0500971990776063,-0.05012985201787003,NA
adherent,[adherent person],NA,NA,NA,NA,NA
adhesive,[adhesive person],NA,NA,-0.050996077502143716,NA,NA
adipose,[adipose person],-0.13039782889204243,-0.05771071666702883,-0.050985000528108816,NA,NA
adjustable,[adjustable person],-0.12999335649603083,NA,-0.05090259797649148,NA,-0.06075924206325552
adjuvant,[adjuvant person],NA,NA,NA,NA,NA
admirable,[admirable person],0.008891977385852082,-8.041019955847635e-4,-0.010316625692222475,-0.04471010465642534,-0.058919045573296656
admonitory,[admonitory person],NA,NA,NA,NA,NA
adorable,[adorable person],-0.10189389567883855,-0.03677853162532417,-0.04181676831120495,-0.011735938914639017,-0.018395070457737805
adread,[adread person],NA,NA,NA,NA,NA
adream,[adream person],NA,NA,NA,NA,NA
adrift,[adrift person],NA,NA,NA,NA,NA
adroit,[adroit person],-0.12733683310757515,-0.05709516791678442,-0.04864594188412219,-0.0502769396818339,NA
adroop,[adroop person],NA,NA,NA,NA,NA
adrowse,[adrowse person],NA,NA,NA,NA,NA
adsorptive,[adsorptive person],NA,NA,NA,NA,NA
adulating,[adulating person],NA,NA,NA,NA,NA
adulatory,[adulatory person],NA,NA,NA,NA,NA
adulterated,[adulterated person],NA,NA,NA,NA,NA
adulterous,[adulterous person],-0.12344249943298295,0.18011827809372122,-0.043523356028896246,NA,NA
adumbral,[adumbral person],NA,NA,NA,NA,NA
aduncal,[aduncal person],NA,NA,NA,NA,NA
adust,[adust person],NA,NA,NA,NA,NA
advanced,[advanced person],-0.09197061422136807,-0.04843587682586394,-0.04223313874801332,-0.04965271672941231,-0.05733342870020708
advancive,[advancive person],NA,NA,NA,NA,NA
advantageous,[advantageous person],-0.12934461745452927,NA,-0.05105113413407534,NA,NA
adventive,[adventive person],NA,NA,NA,NA,NA
adventurous,[adventurous person],-0.055832109285046345,-0.027488977339103524,-0.03783959141983088,-0.032214264356751066,-0.022477631361432066
adversarial,[adversarial person],-0.13010876220916437,NA,NA,NA,NA
adversary,[adversary person],NA,NA,-0.051044258835297424,NA,NA
advertent,[advertent person],NA,NA,NA,NA,NA
advertising,[advertising person],-0.11214681282308057,-0.04797424831274434,0.03307013776908185,-0.04931979682189357,-0.05978446393351154
advised,[advised person],-0.12658392795752033,-0.05728411248902669,-0.04998435532983184,-0.05004566259726946,-0.060509021926850606
adynamic,[adynamic person],NA,NA,NA,NA,NA
aeolistic,[aeolistic person],NA,NA,NA,NA,NA
aerial,[aerial person],NA,NA,-0.05050470324413402,NA,NA
aeriferous,[aeriferous person],NA,NA,NA,NA,NA
aeriform,[aeriform person],NA,NA,NA,NA,NA
aerose,[aerose person],NA,NA,NA,NA,NA
aery,[aery person],NA,NA,-0.05108356131833822,NA,NA
aeschylean,[aeschylean person],NA,NA,-0.05094332023102541,NA,NA
aeschynomenous,[aeschynomenous person],NA,NA,NA,NA,NA
aesopian,[aesopian person],NA,NA,NA,NA,NA
aesthete,[aesthete person],NA,NA,NA,NA,NA
aesthetic,[aesthetic person],-0.11168807376369996,-0.05622160809695321,-0.04523537299675304,-0.050272708016378335,-0.060361374791424637
aestival,[aestival person],NA,NA,NA,NA,NA
aestuous,[aestuous person],NA,NA,NA,NA,NA
afald,[afald person],NA,NA,NA,NA,NA
afeard,[afeard person],NA,NA,NA,NA,NA
affable,[affable person],-0.08741650367170176,-0.050268118545064036,-0.0026387798955536815,-0.04826366903420716,-0.05513021982513746
affected,[affected person],1.4219148795245529,-0.03311071456302483,-0.039366542632176364,-0.042843760448823445,-0.04238515954116115
affectionate,[affectionate person],-0.015037018757808161,-0.033294058026961865,-0.027557503065738075,-0.0328417593965043,-0.036097114279548724
affective,[affective person],-0.12439931359014693,NA,-0.050885353080795594,NA,NA
affirmative,[affirmative person],-0.1281911407191443,-0.05684101922901315,-0.05087244258351276,NA,NA
afflicted,[afflicted person],0.39811432301613836,-0.03262669554091189,-0.02335688318275564,-0.039354609186244026,-0.05005326334237088
afflicting,[afflicting person],NA,NA,-0.05007258318469119,NA,NA
affluent,[affluent person],-0.07476076447652548,-0.04033596115563155,-0.03898622140059887,-0.0487921249071122,-0.05934691932575578
affrighted,[affrighted person],-0.13089635922760687,-0.05735587263404873,-0.05088313651322543,-0.04887958032210561,-0.058705514007476305
affronted,[affronted person],-0.1280794205847372,-0.05572564641695098,-0.05047287525268825,NA,NA
affrontive,[affrontive person],NA,NA,NA,NA,NA
afire,[afire person],NA,NA,NA,NA,NA
aflame,[aflame person],NA,NA,NA,NA,NA
aflare,[aflare person],NA,NA,NA,NA,NA
aflaunt,[aflaunt person],NA,NA,NA,NA,NA
aflow,[aflow person],NA,NA,NA,NA,NA
aflush,[aflush person],NA,NA,NA,NA,NA
aflutter,[aflutter person],NA,NA,NA,NA,NA
afraid,[afraid person],-0.1276886507170544,-0.0572358012698102,-0.050299368664252275,NA,-0.05883587874960598
afrown,[afrown person],NA,NA,NA,NA,NA
afterwise,[afterwise person],NA,NA,NA,NA,NA
afterwitted,[afterwitted person],NA,NA,NA,NA,NA
agacant,[agacant person],NA,NA,NA,NA,NA
agasp,[agasp person],NA,NA,NA,NA,NA
agathokakological,[agathokakological person],NA,NA,NA,NA,NA
agensic,[agensic person],NA,NA,NA,NA,NA
agglomerative,[agglomerative person],NA,NA,NA,NA,NA
agglutinative,[agglutinative person],NA,NA,NA,NA,NA
aggravating,[aggravating person],-0.12300193408445344,-0.05065517170346691,-0.04378505491681107,-0.04922412406345878,-0.05858328898344647
aggravative,[aggravative person],NA,NA,NA,NA,NA
aggregative,[aggregative person],NA,NA,NA,NA,NA
aggressive,[aggressive person],0.19698843835903712,0.0046662355806320705,-0.0048388396104857125,-0.039728160094989334,-0.03214768880292058
aggrieved,[aggrieved person],0.8664298439794383,-0.05058471920722987,-0.04607071279937313,-0.049612281239839094,-0.059459239031459624
aghast,[aghast person],NA,NA,NA,NA,NA
agile,[agile person],-0.10745322394728564,-0.05133550419797952,-0.03663474655813035,-0.04769153133005039,-0.053332164979667585
agitable,[agitable person],NA,NA,NA,NA,NA
agitated,[agitated person],-0.08700793528127303,-0.035365713968412434,-0.030174717693334,-0.04273038997313659,-0.05423743801240895
agitating,[agitating person],NA,-0.057785985647197,-0.051042366755724024,NA,NA
agitative,[agitative person],NA,NA,NA,NA,NA
aglossate,[aglossate person],NA,NA,NA,NA,NA
agnostical,[agnostical person],NA,NA,NA,NA,NA
agog,[agog person],NA,NA,NA,NA,NA
agonistical,[agonistical person],NA,NA,NA,NA,NA
agonized,[agonized person],-0.1301999208897944,-0.05485057423878715,-0.0482993418269094,-0.04804255090957692,-0.059153245842372845
agonizing,[agonizing person],NA,-0.05710148881404773,-0.050077141892405516,NA,NA
agreeable,[agreeable person],0.01630542226146849,-0.024128920809606023,-0.0033753970801696674,-0.04155772027539105,-0.055649029914603895
agrestial,[agrestial person],NA,NA,NA,NA,NA
agrestic,[agrestic person],NA,NA,NA,NA,NA
agrodolce,[agrodolce person],NA,NA,NA,NA,NA
ahungered,[ahungered person],NA,NA,NA,NA,NA
ahungry,[ahungry person],NA,NA,NA,NA,NA
aidant,[aidant person],NA,NA,NA,NA,NA
ailing,[ailing person],-0.04915620975942259,-0.020333299229797437,-0.023086518376307427,-0.044710740830916126,-0.05312118335886263
aimful,[aimful person],NA,NA,NA,NA,NA
aiming,[aiming person],NA,NA,NA,NA,NA
aimless,[aimless person],-0.1277812548743004,-0.057226932999465234,-0.049503230361748654,-0.049826726282336496,-0.058231818902639884
air-monger,[air - monger person],NA,NA,NA,NA,NA
airy,[airy person],-0.12894381015942005,-0.05765210051310809,-0.050240506167460605,-0.049372042099403546,NA
ajangle,[ajangle person],NA,NA,NA,NA,NA
ajar,[ajar person],NA,NA,NA,NA,NA
alacrious,[alacrious person],NA,NA,NA,NA,NA
alacritous,[alacritous person],NA,NA,NA,NA,NA
