TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
acquired,[acquired person],0.07024264130067383,-0.05765604769924212,-0.05049730799570231,-0.04983611694359375,-0.060537614055618236
acquisitive,[acquisitive person],-0.1257726177231438,-0.05647771474375477,-0.04826079107969889,-0.05006730580030897,NA
acranial,[acranial person],NA,NA,NA,NA,NA
acrid,[acrid person],NA,-0.05793322002871614,-0.05092829610494097,NA,NA
acrimonious,[acrimonious person],NA,NA,-0.051050449321910545,NA,NA
acrobatical,[acrobatical person],NA,NA,NA,NA,NA
acronarcotic,[acronarcotic person],NA,NA,NA,NA,NA
active,[active person],0.5218517524811467,0.0994903217334544,0.06096250082905114,-0.021812426734323865,0.030001898349442144
acute,[acute person],-0.12131187472104768,-0.057171697233108144,-0.04726496762232759,-0.049664364726936576,-0.05952224086518032
adagio,[adagio person],NA,NA,NA,NA,NA
adamantean,[adamantean person],NA,NA,NA,NA,NA
adaptable,[adaptable person],-0.10187996860707522,-0.05678076973384366,-0.04735513839379302,-0.04996643639712121,-0.05970171155244179
adaptive,[adaptive person],-0.11493897609413511,NA,-0.04926168664296513,NA,NA
addicted,[addicted person],0.34636821084690655,-0.043214866871159795,-0.044796542753461524,-0.048201221841335344,-0.058219990520592325
addisonian,[addisonian person],NA,NA,NA,NA,NA
addle-brained,[addle - brained person],NA,NA,NA,NA,NA
adept,[adept person],-0.11443841179444493,-0.05540425622574757,-0.05015832225172447,-0.050205613729029784,NA
adherent,[adherent person],NA,NA,NA,NA,NA
adhesive,[adhesive person],NA,NA,-0.051055690498001974,NA,NA
adipose,[adipose person],-0.1305774629266841,-0.05777404458722816,-0.051044672756863536,NA,NA
adjustable,[adjustable person],-0.13017229188067775,NA,-0.05096236374953525,NA,-0.060847840441700614
adjuvant,[adjuvant person],NA,NA,NA,NA,NA
admirable,[admirable person],0.008673232438782706,-9.37907004507242e-4,-0.010441478825133844,-0.04479836987091127,-0.05901068042011805
admonitory,[admonitory person],NA,NA,NA,NA,NA
adorable,[adorable person],-0.1020944961640853,-0.03686981733893416,-0.041885717537093206,-0.011892409777796787,-0.018575117356990148
adread,[adread person],NA,NA,NA,NA,NA
adream,[adream person],NA,NA,NA,NA,NA
adrift,[adrift person],NA,NA,NA,NA,NA
adroit,[adroit person],-0.1275203022209192,-0.05715936937444055,-0.04870769996577441,-0.05035238705683609,NA
adroop,[adroop person],NA,NA,NA,NA,NA
adrowse,[adrowse person],NA,NA,NA,NA,NA
adsorptive,[adsorptive person],NA,NA,NA,NA,NA
adulating,[adulating person],NA,NA,NA,NA,NA
adulatory,[adulatory person],NA,NA,NA,NA,NA
adulterated,[adulterated person],NA,NA,NA,NA,NA
adulterous,[adulterous person],-0.12363020252046988,0.17970904187844325,-0.04359050868511143,NA,NA
adumbral,[adumbral person],NA,NA,NA,NA,NA
aduncal,[aduncal person],NA,NA,NA,NA,NA
adust,[adust person],NA,NA,NA,NA,NA
advanced,[advanced person],-0.0921976248673539,-0.048519935909153225,-0.042302757355120804,-0.04972982253113289,-0.0574303619497908
advancive,[advancive person],NA,NA,NA,NA,NA
advantageous,[advantageous person],-0.12952584884222074,NA,-0.05111072284696196,NA,NA
adventive,[adventive person],NA,NA,NA,NA,NA
adventurous,[adventurous person],-0.05609978794112552,-0.027591789109491893,-0.03791256791939783,-0.03232263700737509,-0.022650619657901223
adversarial,[adversarial person],-0.13028827977983454,NA,NA,NA,NA
adversary,[adversary person],NA,NA,-0.05110382478294486,NA,NA
advertent,[advertent person],NA,NA,NA,NA,NA
advertising,[advertising person],-0.1123489133891668,-0.048052528945453366,0.03289684821043698,-0.04939746619379732,-0.05987470813448568
advised,[advised person],-0.12676802558767056,-0.057347208547977445,-0.05004560878739269,-0.0501216155085265,-0.06059810979289739
adynamic,[adynamic person],NA,NA,NA,NA,NA
aeolistic,[aeolistic person],NA,NA,NA,NA,NA
aerial,[aerial person],NA,NA,-0.05056493607430139,NA,NA
aeriferous,[aeriferous person],NA,NA,NA,NA,NA
aeriform,[aeriform person],NA,NA,NA,NA,NA
aerose,[aerose person],NA,NA,NA,NA,NA
aery,[aery person],NA,NA,-0.05114307161122519,NA,NA
aeschylean,[aeschylean person],NA,NA,-0.051003222380355526,NA,NA
aeschynomenous,[aeschynomenous person],NA,NA,NA,NA,NA
aesopian,[aesopian person],NA,NA,NA,NA,NA
aesthete,[aesthete person],NA,NA,NA,NA,NA
aesthetic,[aesthetic person],-0.11187552258003125,-0.05628707112843569,-0.04530093550634625,-0.05034815435729334,-0.060450797365979046
aestival,[aestival person],NA,NA,NA,NA,NA
aestuous,[aestuous person],NA,NA,NA,NA,NA
afald,[afald person],NA,NA,NA,NA,NA
afeard,[afeard person],NA,NA,NA,NA,NA
affable,[affable person],-0.08764964065874034,-0.05034282306758269,-0.00274878488448961,-0.04834191438951686,-0.05523022750453334
affected,[affected person],1.4191490142686147,-0.03321820043502899,-0.039439835361093495,-0.04292823205885446,-0.04250808008760077
affectionate,[affectionate person],-0.015368155783479547,-0.03338763545937019,-0.02765282482859722,-0.03295456116446155,-0.03623562732760481
affective,[affective person],-0.12458842560844821,NA,-0.05094523130295682,NA,NA
affirmative,[affirmative person],-0.1283741218978193,-0.056905216837928756,-0.05093232561129084,NA,NA
afflicted,[afflicted person],0.3971397326726239,-0.03271573794905163,-0.023471155301888043,-0.03944072609757541,-0.05017936410608651
afflicting,[afflicting person],NA,NA,-0.05013380707323231,NA,NA
affluent,[affluent person],-0.074992514795146,-0.04042211026305311,-0.03906506309219032,-0.04887064413944137,-0.059439457224693064
affrighted,[affrighted person],-0.13107516685894746,-0.05741918922038722,-0.0509429488553041,-0.048958338520108745,-0.05880053733272731
affronted,[affronted person],-0.12825970720074725,-0.05579161974691384,-0.05053309452062765,NA,NA
affrontive,[affrontive person],NA,NA,NA,NA,NA
afire,[afire person],NA,NA,NA,NA,NA
aflame,[aflame person],NA,NA,NA,NA,NA
aflare,[aflare person],NA,NA,NA,NA,NA
aflaunt,[aflaunt person],NA,NA,NA,NA,NA
